Time (sec);X Position (m);Y Position (m);Z Position (m);Roll Position (rad);Pitch Position (rad);Yaw Position (rad)
1.5400000000;0.0151988434;-0.0181749437;-0.0119217161;0.0720258503;0.0764139042;-0.0527798137
1.5500000000;0.0152734946;-0.0182389374;-0.0120881252;0.0706960255;0.0770726764;-0.0512093335
1.5600000000;0.0153477516;-0.0183025879;-0.0122594466;0.0693503465;0.0777408382;-0.0496534156
1.5700000000;0.0154216125;-0.0183659000;-0.0124352171;0.0679967767;0.0784281529;-0.0481142882
1.5800000000;0.0154950754;-0.0184288772;-0.0126149074;0.0666462165;0.0791443917;-0.0465938163
1.5900000000;0.0155681387;-0.0184915231;-0.0127979142;0.0653112101;0.0798994984;-0.0450934894
1.6000000000;0.0156408008;-0.0185538407;-0.0129835551;0.0640030516;0.0807025586;-0.0436146118
1.6100000000;0.0157130600;-0.0186158326;-0.0131710767;0.0627302155;0.0815595189;-0.0421584070
1.6200000000;0.0157849149;-0.0186775010;-0.0133596794;0.0614975791;0.0824713486;-0.0407259635
1.6300000000;0.0158563640;-0.0187388477;-0.0135485472;0.0603067385;0.0834344614;-0.0393182336
1.6400000000;0.0159274059;-0.0187998736;-0.0137368700;0.0591575958;0.0844408251;-0.0379361026
1.6500000000;0.0159980391;-0.0188605798;-0.0139238481;0.0580502001;0.0854804628;-0.0365801614
1.6600000000;0.0160682621;-0.0189209670;-0.0141086820;0.0569850829;0.0865473061;-0.0352503059
1.6700000000;0.0161380735;-0.0189810358;-0.0142905560;0.0559626189;0.0876393218;-0.0339458166
1.6800000000;0.0162074720;-0.0190407865;-0.0144686321;0.0549837683;0.0887542046;-0.0326659402
1.6900000000;0.0162764563;-0.0191002195;-0.0146420626;0.0540512368;0.0898886468;-0.0314103745
1.7000000000;0.0163450254;-0.0191593355;-0.0148100085;0.0531680708;0.0910376590;-0.0301793596
1.7100000000;0.0164131783;-0.0192181359;-0.0149716589;0.0523354919;0.0921934353;-0.0289735383
1.7200000000;0.0164809143;-0.0192766226;-0.0151262469;0.0515526571;0.0933484620;-0.0277937551
